Page,Section,Image Name,Alt Tag,Thumbnail
Homepage,Campus Section,photo-1758747878870-6f2626c93a10.jpg,Palm trees at sunset in Newport Beach California,https://images.unsplash.com/photo-1758747878870-6f2626c93a10?w=400&q=60
Homepage,Campus Section,photo-1762640044491-99634d38c619.jpg,Modern home with ocean view in Newport Beach,https://images.unsplash.com/photo-1762640044491-99634d38c619?w=400&q=60
Homepage,Footer,idi_logo_stacked.png,Interior Designers Institute,/images/idi_logo_stacked.png
Homepage,Footer,ACCCS_logo.png,ACCSC Accredited,/images/ACCCS_logo.png
Homepage,Footer,bppe-logo.png,BPPE Approved,/images/bppe-logo.png
Homepage,Footer,cida_logo.png,CIDA Accredited,/images/cida_logo.png
Programs,Hero,photo-1618221195710-dd6b41faaea6.jpg,Interior design workspace,https://images.unsplash.com/photo-1618221195710-dd6b41faaea6?w=400&q=60
Programs,Program Cards — Certificate,photo-1586023492125-27b2c045efd7.jpg,Certificate program,https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=400&q=60
Programs,Program Cards — Associate of Arts,photo-1618221195710-dd6b41faaea6.jpg,Associate of Arts program,https://images.unsplash.com/photo-1618221195710-dd6b41faaea6?w=400&q=60
Programs,Program Cards — Bachelor of Arts,photo-1497366216548-37526070297c.jpg,Bachelor of Arts program,https://images.unsplash.com/photo-1497366216548-37526070297c?w=400&q=60
Programs,Program Cards — Master,photo-1600607687939-ce8a6c25118c.jpg,Master of Interior Architecture program,https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?w=400&q=60
Programs (Detail),Hero,photo-1616486338812-3dadae4b4ace.jpg,Program detail hero image,https://images.unsplash.com/photo-1616486338812-3dadae4b4ace?w=400&q=60
Compare Programs,Social Proof,ACCCS_logo.png,ACCSC Accredited,/images/ACCCS_logo.png
Compare Programs,Social Proof,cida_logo.png,CIDA Accredited,/images/cida_logo.png
Compare Programs,Social Proof,bppe-logo.png,BPPE Approved,/images/bppe-logo.png
Admissions,Hero,photo-1497366216548-37526070297c.jpg,Modern campus interior with warm lighting,https://images.unsplash.com/photo-1497366216548-37526070297c?w=400&q=60
Admissions,Card — Tuition,photo-1586023492125-27b2c045efd7.jpg,Tuition & Fees,https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=400&q=60
Admissions,Card — Financial Aid,photo-1618221195710-dd6b41faaea6.jpg,Financial Aid,https://images.unsplash.com/photo-1618221195710-dd6b41faaea6?w=400&q=60
Admissions,Card — Apply Now,photo-1600607687939-ce8a6c25118c.jpg,Apply Now,https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?w=400&q=60
Apply,Hero,photo-1524758631624-e2822e304c36.jpg,Design workspace with creative materials,https://images.unsplash.com/photo-1524758631624-e2822e304c36?w=400&q=60
Campus Visit,Hero,photo-1600585154340-be6161a56a0c.jpg,Newport Beach coastal design inspiration,https://images.unsplash.com/photo-1600585154340-be6161a56a0c?w=400&q=60
About,Hero,photo-1497366216548-37526070297c.jpg,Modern campus interior,https://images.unsplash.com/photo-1497366216548-37526070297c?w=400&q=60
About,Card — History,photo-1600585154340-be6161a56a0c.jpg,History,https://images.unsplash.com/photo-1600585154340-be6161a56a0c?w=400&q=60
About,Card — Admissions,photo-1497366216548-37526070297c.jpg,Admissions,https://images.unsplash.com/photo-1497366216548-37526070297c?w=400&q=60
About,Card — Faculty,photo-1616486338812-3dadae4b4ace.jpg,Faculty,https://images.unsplash.com/photo-1616486338812-3dadae4b4ace?w=400&q=60
About,Card — Staff,photo-1631679706909-1844bbd07221.jpg,Staff,https://images.unsplash.com/photo-1631679706909-1844bbd07221?w=400&q=60
About,Mission,gallery-05.jpg,IDI campus,/images/gallery/gallery-05.jpg
About,Philosophy,gallery-12.jpg,IDI student work,/images/gallery/gallery-12.jpg
History,Hero,photo-1497366754035-f200968a6e72.jpg,Historic campus interior,https://images.unsplash.com/photo-1497366754035-f200968a6e72?w=400&q=60
History,Gallery,gallery-16.jpg,IDI campus history,/images/gallery/gallery-16.jpg
History,Gallery,photo-1524758631624-e2822e304c36.jpg,Campus design workspace,https://images.unsplash.com/photo-1524758631624-e2822e304c36?w=400&q=60
History,Gallery,photo-1600607687939-ce8a6c25118c.jpg,Design studio,https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?w=400&q=60
History,Gallery,photo-1523580846011-d3a5bc25702b.jpg,Design center,https://images.unsplash.com/photo-1523580846011-d3a5bc25702b?w=400&q=60
History,Gallery,photo-1531482615713-2afd69097998.jpg,Graduation,https://images.unsplash.com/photo-1531482615713-2afd69097998?w=400&q=60
History,Gallery,photo-1552664730-d307ca884978.jpg,Mentoring,https://images.unsplash.com/photo-1552664730-d307ca884978?w=400&q=60
Faculty,Hero,photo-1524178232363-1fb2b075b655.jpg,Faculty teaching environment,https://images.unsplash.com/photo-1524178232363-1fb2b075b655?w=400&q=60
Faculty,Faculty Listing,chidimma-abuka.jpg,Chidimma Abuka,/images/faculty/chidimma-abuka.jpg
Faculty,Faculty Listing,angela-blake.jpg,Angela Blake,/images/faculty/angela-blake.jpg
Faculty,Faculty Listing,hiba-chabani.jpg,Hiba Chabani,/images/faculty/hiba-chabani.jpg
Faculty,Faculty Listing,amy-creager.jpg,Amy Creager,/images/faculty/amy-creager.jpg
Faculty,Faculty Listing,allison-crosland.jpg,Allison Crosland,/images/faculty/allison-crosland.jpg
Faculty,Faculty Listing,pete-cruz.jpg,Pete Cruz,/images/faculty/pete-cruz.jpg
Faculty,Faculty Listing,reya-duenas.jpg,Reya Duenas,/images/faculty/reya-duenas.jpg
Faculty,Faculty Listing,rick-fox.jpg,Rick Fox,/images/faculty/rick-fox.jpg
Faculty,Faculty Listing,donald-gardner.jpg,Donald Gardner,/images/faculty/donald-gardner.jpg
Faculty,Faculty Listing,tamara-gonzalez.jpg,Tamara Gonzalez,/images/faculty/tamara-gonzalez.jpg
Faculty,Faculty Listing,rachel-hulan.jpg,Rachel Hulan,/images/faculty/rachel-hulan.jpg
Faculty,Faculty Listing,kristin-pipal-keehne.jpg,Kristin Pipal-Keehne,/images/faculty/kristin-pipal-keehne.jpg
Faculty,Faculty Listing,megan-keith.jpg,Megan Keith,/images/faculty/megan-keith.jpg
Faculty,Faculty Listing,brad-smith.jpg,Brad Smith,/images/faculty/brad-smith.jpg
Faculty,Faculty Listing,mark-teale.jpg,Mark Teale,/images/faculty/mark-teale.jpg
Faculty,Faculty Listing,tasha-thayer.jpg,Tasha Thayer,/images/faculty/tasha-thayer.jpg
Faculty,Faculty Listing,kristen-white-scully.jpg,Kristen White-Scully,/images/faculty/kristen-white-scully.jpg
Faculty,Faculty Listing,michele-prata.jpg,Michele Prata,/images/faculty/michele-prata.jpg
Staff,Hero,photo-1497366216548-37526070297c.jpg,Staff directory hero,https://images.unsplash.com/photo-1497366216548-37526070297c?w=400&q=60
Staff,Staff Directory,tammy-solomons.png,Tammy Solomons,/images/staff/tammy-solomons.png
Staff,Staff Directory,tamara-gonzalez.jpg,Tamara Gonzalez,/images/staff/tamara-gonzalez.jpg
Staff,Staff Directory,becky-mauldin.jpg,Becky Mauldin,/images/staff/becky-mauldin.jpg
Staff,Staff Directory,samantha-arizaga.jpg,Samantha Arizaga,/images/staff/samantha-arizaga.jpg
Staff,Staff Directory,rachel-hulan.png,Rachel Hulan,/images/staff/rachel-hulan.png
Staff,Staff Directory,renee-robles.jpg,Renee Robles,/images/staff/renee-robles.jpg
Staff,Staff Directory,stephanie-pappas.jpg,Stephanie Pappas,/images/staff/stephanie-pappas.jpg
Accreditation,Hero,photo-1568992687947-868a62a9f521.jpg,Accreditation hero,https://images.unsplash.com/photo-1568992687947-868a62a9f521?w=400&q=60
Accreditation,ACCSC,ACCCS_logo.png,ACCSC logo,/images/ACCCS_logo.png
Accreditation,CIDA,cida_logo.png,CIDA logo,/images/cida_logo.png
Accreditation,BPPE,bppe-logo.png,BPPE logo,/images/bppe-logo.png
Campus Life,Hero,photo-1600585154340-be6161a56a0c.jpg,Luxury home exterior with Newport Beach coastal design,https://images.unsplash.com/photo-1600585154340-be6161a56a0c?w=400&q=60
Campus Life,Facilities — Design Studios,photo-1618221195710-dd6b41faaea6.jpg,Design Studios,https://images.unsplash.com/photo-1618221195710-dd6b41faaea6?w=400&q=60
Campus Life,Facilities — Resource Library,photo-1497366216548-37526070297c.jpg,Resource Library,https://images.unsplash.com/photo-1497366216548-37526070297c?w=400&q=60
Campus Life,Facilities — Computer Lab,photo-1631679706909-1844bbd07221.jpg,Computer Lab,https://images.unsplash.com/photo-1631679706909-1844bbd07221?w=400&q=60
Campus Life,Facilities — Materials Room,photo-1586023492125-27b2c045efd7.jpg,Materials Room,https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=400&q=60
Campus Life,Student Orgs — ASID,photo-1600566753190-17f0baa2a6c3.jpg,ASID Student Chapter,https://images.unsplash.com/photo-1600566753190-17f0baa2a6c3?w=400&q=60
Campus Life,Student Orgs — IIDA,photo-1600585154340-be6161a56a0c.jpg,IIDA Student Chapter,https://images.unsplash.com/photo-1600585154340-be6161a56a0c?w=400&q=60
Campus Life,Student Orgs — NKBA,photo-1556909114-f6e7ad7d3136.jpg,NKBA Student Chapter,https://images.unsplash.com/photo-1556909114-f6e7ad7d3136?w=400&q=60
Campus Life,Student Orgs — NEWH,photo-1600607687939-ce8a6c25118c.jpg,NEWH Student Chapter,https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?w=400&q=60
Campus Life,Gallery,gallery-01.jpg,IDI student design project 1,/images/gallery/gallery-01.jpg
Campus Life,Gallery,gallery-02.jpg,IDI student design project 2,/images/gallery/gallery-02.jpg
Campus Life,Gallery,gallery-03.jpg,IDI student design project 3,/images/gallery/gallery-03.jpg
Campus Life,Gallery,gallery-04.jpg,IDI student design project 4,/images/gallery/gallery-04.jpg
Campus Life,Gallery,gallery-05.jpg,IDI student design project 5,/images/gallery/gallery-05.jpg
Campus Life,Gallery,gallery-06.jpg,IDI student design project 6,/images/gallery/gallery-06.jpg
Campus Life,Gallery,gallery-07.jpg,IDI student design project 7,/images/gallery/gallery-07.jpg
Campus Life,Gallery,gallery-08.jpg,IDI student design project 8,/images/gallery/gallery-08.jpg
Campus Life,Gallery,gallery-09.jpg,IDI student design project 9,/images/gallery/gallery-09.jpg
Campus Life,Gallery,gallery-10.jpg,IDI student design project 10,/images/gallery/gallery-10.jpg
Campus Life,Gallery,gallery-11.jpg,IDI student design project 11,/images/gallery/gallery-11.jpg
Campus Life,Gallery,gallery-12.jpg,IDI student design project 12,/images/gallery/gallery-12.jpg
Campus Life,Gallery,gallery-13.jpg,IDI student design project 13,/images/gallery/gallery-13.jpg
Campus Life,Gallery,gallery-14.jpg,IDI student design project 14,/images/gallery/gallery-14.jpg
Campus Life,Gallery,gallery-15.jpg,IDI student design project 15,/images/gallery/gallery-15.jpg
Campus Life,Gallery,gallery-16.jpg,IDI student design project 16,/images/gallery/gallery-16.jpg
Campus Life,Gallery,gallery-17.jpg,IDI student design project 17,/images/gallery/gallery-17.jpg
Campus Life,Gallery,gallery-18.jpg,IDI student design project 18,/images/gallery/gallery-18.jpg
Campus Life,Gallery,gallery-19.jpg,IDI student design project 19,/images/gallery/gallery-19.jpg
Campus Life,Gallery,gallery-20.jpg,IDI student design project 20,/images/gallery/gallery-20.jpg
Campus Life,Location,photo-1600585154340-be6161a56a0c.jpg,Newport Beach coastal view,https://images.unsplash.com/photo-1600585154340-be6161a56a0c?w=400&q=60
Contact,Hero,photo-1497366216548-37526070297c.jpg,Contact page hero,https://images.unsplash.com/photo-1497366216548-37526070297c?w=400&q=60
